order_id,order_date,store_id,region,sales_channel,product_id,category,subcategory,product_name,unit_price,quantity,discount_rate,revenue,cost,profit,payment_method,customer_id,customer_segment,promo_code,is_return,return_date
100001,2025-06-01,S01,Beirut,In-Store,P0029,Apparel,Kids,Product 29,160.53,1,0.07,149.29,121.73,27.56,Cash,C9583,Consumer,,False,
100002,2025-06-01,S01,South,Online,P0006,Electronics,Phones,Product 6,159.76,3,0.08,440.94,401.27,39.67,Cash,C8651,Consumer,,False,
100003,2025-06-01,S01,Beirut,Online,P0045,Electronics,Phones,Product 45,288.01,3,0.0,864.03,635.8,228.23,Card,C6339,Consumer,WEEKEND,False,
100004,2025-06-01,S01,Beirut,Phone,P0010,Apparel,Women,Product 10,445.45,2,0.11,792.9,674.3,118.6,Card,C1784,Consumer,,False,
100005,2025-06-01,S01,Mount Lebanon,In-Store,P0021,Apparel,Men,Product 21,34.72,2,0.08,63.88,59.19,4.69,Card,C9758,Corporate,,False,
100006,2025-06-01,S01,Beirut,Online,P0006,Electronics,Phones,Product 6,570.95,1,0.14,491.02,491.26,-0.24,Card,C5742,Consumer,SUMMER10,False,
100007,2025-06-01,S02,South,Online,P0029,Home,Decor,Product 29,431.19,1,0.07,401.01,363.86,37.15,Card,C4947,Corporate,,False,
100008,2025-06-01,S02,Mount Lebanon,Online,P0008,Apparel,Kids,Product 8,36.13,4,0.05,137.29,96.7,40.59,Card,C5257,Corporate,,False,
100009,2025-06-01,S02,Beirut,In-Store,P0032,Electronics,Accessories,Product 32,331.67,2,0.1,597.01,522.07,74.94,Card,C7399,Small Business,,False,
100010,2025-06-01,S02,Beirut,In-Store,P0009,Grocery,Pantry,Product 9,24.21,2,0.08,44.55,29.17,15.38,Card,C4282,Consumer,VIP,False,
100011,2025-06-01,S02,Beirut,Online,P0044,Apparel,Women,Product 44,10.04,1,0.08,9.24,6.24,3.0,Card,C7634,Consumer,SUMMER10,False,
100012,2025-06-01,S02,Mount Lebanon,In-Store,P0048,Home,Garden,Product 48,241.14,3,0.1,651.08,504.32,146.76,Cash,C5703,Consumer,,False,
100013,2025-06-01,S02,Mount Lebanon,Online,P0050,Home,Garden,Product 50,117.93,1,0.02,115.57,86.72,28.85,Card,C8574,Consumer,,False,
100014,2025-06-01,S02,North,Online,P0043,Home,Garden,Product 43,6.69,3,0.05,19.07,12.07,7.0,Card,C6500,Small Business,,False,
100015,2025-06-01,S02,Beirut,Phone,P0003,Apparel,Kids,Product 3,162.75,2,0.1,292.95,239.2,53.75,Card,C4211,Consumer,,False,
100016,2025-06-01,S02,Mount Lebanon,Online,P0020,Grocery,Beverages,Product 20,340.34,2,0.04,653.45,416.17,237.28,Card,C3491,Corporate,,False,
100017,2025-06-01,S02,North,Online,P0004,Electronics,Phones,Product 4,165.03,2,0.17,273.95,249.36,24.59,Cash,C7280,Corporate,,False,
100018,2025-06-01,S02,Mount Lebanon,Online,P0046,Home,Garden,Product 46,582.36,1,0.1,524.12,411.41,112.71,Card,C8017,Consumer,WEEKEND,False,
100019,2025-06-01,S02,Beirut,Online,P0004,Apparel,Kids,Product 4,380.62,2,0.07,707.95,669.39,38.56,Card,C2826,Small Business,,False,
100020,2025-06-01,S02,Mount Lebanon,Online,P0049,Home,Kitchen,Product 49,99.24,1,0.14,85.35,60.94,24.41,Cash,C2660,Consumer,,False,
100021,2025-06-01,S02,North,In-Store,P0001,Home,Kitchen,Product 1,144.18,1,0.1,129.76,108.84,20.92,Card,C3262,Corporate,WEEKEND,False,
100022,2025-06-01,S02,Beirut,Online,P0003,Apparel,Women,Product 3,500.23,2,0.08,920.42,833.03,87.39,Card,C3814,Consumer,,False,
100023,2025-06-01,S02,Beirut,In-Store,P0041,Home,Decor,Product 41,544.89,3,0.07,1520.24,1200.87,319.37,Card,C1614,Consumer,SUMMER10,False,
100024,2025-06-01,S02,North,In-Store,P0023,Home,Garden,Product 23,523.91,3,0.16,1320.25,1230.96,89.29,Card,C5110,Small Business,,False,
100025,2025-06-01,S02,Beirut,In-Store,P0021,Grocery,Fresh,Product 21,270.28,2,0.1,486.5,388.05,98.45,Cash,C8368,Consumer,,False,
100026,2025-06-01,S03,Beirut,In-Store,P0047,Home,Garden,Product 47,599.32,1,0.08,551.37,464.25,87.12,Wallet,C9635,Corporate,,False,
100027,2025-06-01,S03,Mount Lebanon,Online,P0018,Electronics,Laptops,Product 18,469.83,2,0.06,883.28,647.29,235.99,Card,C1044,Consumer,,False,
100028,2025-06-01,S03,Beirut,Online,P0033,Grocery,Beverages,Product 33,343.03,4,0.08,1262.35,1024.04,238.31,Card,C4163,Consumer,,False,
100029,2025-06-01,S03,North,Phone,P0045,Apparel,Kids,Product 45,576.58,1,0.07,536.22,401.41,134.81,Card,C1406,Consumer,SUMMER10,False,
100030,2025-06-01,S03,Beirut,In-Store,P0005,Apparel,Men,Product 5,151.46,1,0.1,136.31,116.48,19.83,Card,C1119,Consumer,,False,
100031,2025-06-01,S03,Mount Lebanon,In-Store,P0004,Grocery,Fresh,Product 4,153.21,1,0.1,137.89,110.82,27.07,Cash,C4264,Consumer,,False,
100032,2025-06-01,S03,South,In-Store,P0028,Electronics,Phones,Product 28,197.21,2,0.12,347.09,283.04,64.05,Card,C8975,Corporate,,False,
100033,2025-06-01,S03,Beirut,Online,P0029,Apparel,Kids,Product 29,416.59,1,0.12,366.6,264.68,101.92,Cash,C4964,Consumer,,False,
100034,2025-06-01,S03,Mount Lebanon,In-Store,P0047,Grocery,Pantry,Product 47,521.11,4,0.08,1917.68,1493.1,424.58,Cash,C7990,Consumer,,False,
100035,2025-06-01,S03,Beirut,In-Store,P0006,Grocery,Beverages,Product 6,255.43,1,0.11,227.33,215.5,11.83,Card,C1388,Consumer,,True,2025-06-19
100036,2025-06-01,S03,Beirut,Online,P0033,Grocery,Beverages,Product 33,318.35,2,0.04,611.23,493.83,117.4,Card,C5028,Consumer,,False,
100037,2025-06-01,S04,Beirut,Online,P0033,Grocery,Fresh,Product 33,393.03,1,0.04,377.31,343.22,34.09,Card,C5775,Corporate,,False,
100038,2025-06-01,S04,Beirut,In-Store,P0012,Apparel,Women,Product 12,229.8,1,0.0,229.8,183.3,46.5,Card,C1850,Consumer,,False,
100039,2025-06-01,S04,Beirut,In-Store,P0040,Grocery,Pantry,Product 40,276.58,1,0.06,259.99,210.01,49.98,Cash,C4429,Corporate,,False,
100040,2025-06-01,S04,Mount Lebanon,Online,P0033,Grocery,Fresh,Product 33,196.92,1,0.08,181.17,165.0,16.17,Card,C3875,Consumer,SUMMER10,False,
100041,2025-06-01,S04,Beirut,Online,P0029,Electronics,Laptops,Product 29,253.4,3,0.0,760.2,653.96,106.24,Card,C7549,Small Business,,False,
100042,2025-06-01,S04,Beirut,Online,P0017,Grocery,Beverages,Product 17,3.11,1,0.14,2.67,2.5,0.17,Card,C6864,Corporate,,False,
100043,2025-06-01,S04,Beirut,Online,P0015,Home,Garden,Product 15,406.83,1,0.13,353.94,350.93,3.01,Card,C1926,Small Business,,False,
100044,2025-06-01,S05,South,Online,P0036,Grocery,Beverages,Product 36,154.45,3,0.13,403.11,340.43,62.68,Cash,C4833,Corporate,,False,
100045,2025-06-01,S05,Beirut,Online,P0013,Electronics,Phones,Product 13,150.58,2,0.02,295.14,229.75,65.39,Cash,C2249,Small Business,SUMMER10,False,
100046,2025-06-01,S05,Mount Lebanon,In-Store,P0008,Apparel,Women,Product 8,454.66,1,0.09,413.74,326.02,87.72,Card,C5962,Consumer,WEEKEND,False,
100047,2025-06-01,S05,Beirut,Online,P0034,Apparel,Kids,Product 34,9.1,4,0.11,32.4,24.95,7.45,Card,C3390,Small Business,WEEKEND,False,
100048,2025-06-01,S05,Beirut,Online,P0022,Home,Decor,Product 22,88.17,1,0.09,80.23,60.88,19.35,Card,C1583,Consumer,,False,
100049,2025-06-01,S05,North,In-Store,P0039,Home,Kitchen,Product 39,51.32,2,0.11,91.35,79.75,11.6,Card,C2800,Consumer,SUMMER10,False,
100050,2025-06-01,S05,Beirut,In-Store,P0020,Grocery,Fresh,Product 20,433.03,4,0.0,1732.12,1298.66,433.46,Card,C8829,Consumer,,False,
100051,2025-06-01,S05,Mount Lebanon,Online,P0027,Home,Decor,Product 27,42.85,1,0.03,41.56,36.59,4.97,Cash,C1618,Consumer,,False,
100052,2025-06-01,S05,South,Online,P0013,Home,Decor,Product 13,156.5,2,0.04,300.48,270.63,29.85,Card,C6241,Consumer,,False,
100053,2025-06-01,S05,Beirut,In-Store,P0010,Apparel,Kids,Product 10,431.13,1,0.2,344.9,294.93,49.97,Card,C5229,Consumer,SUMMER10,False,
100054,2025-06-01,S05,Mount Lebanon,Online,P0044,Electronics,Accessories,Product 44,462.1,3,0.09,1261.53,858.91,402.62,Card,C9153,Small Business,,False,
100055,2025-06-01,S05,North,In-Store,P0023,Apparel,Men,Product 23,579.65,1,0.09,527.48,386.05,141.43,Card,C5305,Corporate,,False,
100056,2025-06-01,S06,North,Online,P0046,Grocery,Pantry,Product 46,347.87,3,0.06,980.99,774.03,206.96,Card,C6488,Consumer,,False,
100057,2025-06-01,S06,Beirut,In-Store,P0038,Home,Garden,Product 38,523.61,2,0.16,879.66,661.49,218.17,Card,C4156,Consumer,,False,
100058,2025-06-01,S06,Mount Lebanon,In-Store,P0053,Apparel,Kids,Product 53,448.24,1,0.0,448.24,355.56,92.68,Wallet,C3951,Corporate,,False,
100059,2025-06-01,S06,North,In-Store,P0028,Electronics,Accessories,Product 28,312.28,2,0.13,543.37,535.31,8.06,Card,C1812,Consumer,,False,
100060,2025-06-01,S06,Beirut,In-Store,P0050,Electronics,Accessories,Product 50,156.11,1,0.01,154.55,125.16,29.39,Card,C7343,Consumer,,False,
100061,2025-06-01,S06,North,In-Store,P0009,Grocery,Pantry,Product 9,470.58,1,0.06,442.35,319.83,122.52,Card,C3824,Consumer,SUMMER10,False,
100062,2025-06-01,S06,Beirut,Online,P0043,Electronics,Accessories,Product 43,481.89,2,0.14,828.85,803.24,25.61,Card,C6458,Consumer,,False,
100063,2025-06-01,S06,North,Online,P0021,Grocery,Fresh,Product 21,384.26,4,0.02,1506.3,1087.73,418.57,Card,C6642,Corporate,SUMMER10,False,
100064,2025-06-01,S06,Beirut,In-Store,P0037,Apparel,Women,Product 37,63.73,2,0.1,114.71,88.09,26.62,Card,C3598,Consumer,,False,
100065,2025-06-01,S06,South,In-Store,P0049,Apparel,Men,Product 49,31.87,1,0.06,29.96,27.75,2.21,Card,C6962,Consumer,SUMMER10,False,
100066,2025-06-01,S06,Mount Lebanon,Online,P0026,Electronics,Accessories,Product 26,131.83,3,0.09,359.9,263.74,96.16,Card,C6593,Consumer,WEEKEND,False,
100067,2025-06-01,S06,Mount Lebanon,In-Store,P0005,Grocery,Fresh,Product 5,598.44,1,0.09,544.58,359.88,184.7,Card,C9116,Consumer,,False,
100068,2025-06-01,S06,Beirut,Online,P0030,Apparel,Women,Product 30,532.06,2,0.15,904.5,665.22,239.28,Card,C8153,Corporate,,False,
100069,2025-06-01,S06,South,Online,P0021,Grocery,Fresh,Product 21,161.74,1,0.08,148.8,103.15,45.65,Cash,C9681,Corporate,,False,
100070,2025-06-01,S06,Mount Lebanon,Online,P0044,Apparel,Kids,Product 44,358.64,2,0.13,624.03,641.59,-17.56,Card,C2063,Corporate,,False,
100071,2025-06-02,S01,Beirut,Online,P0049,Apparel,Women,Product 49,102.27,1,0.1,92.04,76.2,15.84,Card,C4382,Consumer,,False,
100072,2025-06-02,S01,South,Online,P0010,Electronics,Laptops,Product 10,183.68,2,0.0,367.36,222.99,144.37,Card,C6061,Corporate,VIP,True,2025-06-04
100073,2025-06-02,S01,North,In-Store,P0053,Apparel,Kids,Product 53,126.99,1,0.0,126.99,98.02,28.97,Card,C5878,Consumer,WEEKEND,False,
100074,2025-06-02,S01,Beirut,In-Store,P0038,Electronics,Laptops,Product 38,188.64,3,0.08,520.65,484.88,35.77,Card,C8673,Consumer,,False,
100075,2025-06-02,S01,South,In-Store,P0055,Grocery,Pantry,Product 55,93.17,1,0.0,93.17,82.64,10.53,Card,C4627,Corporate,,False,
100076,2025-06-02,S01,Beirut,In-Store,P0060,Electronics,Phones,Product 60,217.71,1,0.15,185.05,173.09,11.96,Cash,C6783,Consumer,,False,
100077,2025-06-02,S01,Mount Lebanon,In-Store,P0058,Apparel,Women,Product 58,554.48,1,0.05,526.76,481.47,45.29,Card,C5480,Consumer,,False,
100078,2025-06-02,S01,South,In-Store,P0040,Home,Kitchen,Product 40,220.51,3,0.06,621.84,585.55,36.29,Card,C1574,Small Business,WEEKEND,False,
100079,2025-06-02,S02,Mount Lebanon,In-Store,P0016,Grocery,Beverages,Product 16,321.31,3,0.08,886.82,666.6,220.22,Card,C9021,Consumer,,False,
100080,2025-06-02,S02,South,In-Store,P0053,Home,Kitchen,Product 53,256.15,4,0.04,983.62,696.29,287.33,Card,C6923,Consumer,VIP,True,2025-06-11
100081,2025-06-02,S02,Beirut,Online,P0044,Electronics,Phones,Product 44,422.37,4,0.08,1554.32,1149.43,404.89,Wallet,C5653,Consumer,,False,
100082,2025-06-02,S02,South,Online,P0001,Home,Garden,Product 1,438.55,4,0.11,1561.24,1406.75,154.49,Card,C6063,Small Business,SUMMER10,False,
100083,2025-06-02,S02,Beirut,In-Store,P0001,Grocery,Fresh,Product 1,95.35,4,0.13,331.82,279.56,52.26,Cash,C8334,Consumer,,False,
100084,2025-06-02,S02,Beirut,In-Store,P0046,Grocery,Beverages,Product 46,270.95,1,0.13,235.73,174.42,61.31,Card,C4497,Consumer,,False,
100085,2025-06-02,S02,Beirut,Phone,P0025,Apparel,Men,Product 25,425.35,2,0.06,799.66,743.87,55.79,Card,C1765,Corporate,,False,
100086,2025-06-02,S02,North,Online,P0041,Apparel,Kids,Product 41,546.33,1,0.03,529.94,405.05,124.89,Cash,C9496,Corporate,,False,
100087,2025-06-02,S02,Beirut,Phone,P0008,Apparel,Kids,Product 8,519.58,1,0.0,519.58,361.68,157.9,Card,C5163,Consumer,,False,
100088,2025-06-02,S02,South,Online,P0040,Grocery,Pantry,Product 40,306.46,3,0.08,845.83,685.45,160.38,Card,C8152,Consumer,VIP,False,
100089,2025-06-02,S02,Beirut,In-Store,P0005,Apparel,Women,Product 5,145.3,1,0.07,135.13,104.66,30.47,Cash,C5827,Corporate,,False,
100090,2025-06-02,S03,South,In-Store,P0047,Grocery,Fresh,Product 47,593.16,2,0.06,1115.14,714.43,400.71,Card,C1696,Consumer,VIP,False,
100091,2025-06-02,S03,North,In-Store,P0060,Electronics,Laptops,Product 60,61.06,2,0.04,117.24,89.92,27.32,Card,C8293,Consumer,SUMMER10,False,
100092,2025-06-02,S03,North,Online,P0018,Grocery,Pantry,Product 18,541.12,4,0.12,1904.74,1533.95,370.79,Wallet,C2520,Consumer,,False,
100093,2025-06-02,S03,Beirut,Online,P0043,Electronics,Laptops,Product 43,575.64,1,0.02,564.13,413.45,150.68,Card,C7631,Consumer,,False,
100094,2025-06-02,S03,Beirut,In-Store,P0058,Grocery,Pantry,Product 58,421.33,1,0.0,421.33,344.69,76.64,Card,C6805,Consumer,,False,
100095,2025-06-02,S03,Mount Lebanon,Online,P0010,Home,Kitchen,Product 10,63.96,5,0.12,281.42,287.36,-5.94,Card,C4095,Consumer,,False,
100096,2025-06-02,S03,Mount Lebanon,Online,P0019,Grocery,Fresh,Product 19,78.25,1,0.12,68.86,67.87,0.99,Cash,C2088,Consumer,VIP,False,
100097,2025-06-02,S03,North,Online,P0055,Grocery,Fresh,Product 55,259.84,3,0.07,724.95,624.29,100.66,Card,C4459,Consumer,,False,
100098,2025-06-02,S04,North,Online,P0060,Home,Kitchen,Product 60,97.53,1,0.12,85.83,76.53,9.3,Card,C6659,Small Business,,False,
100099,2025-06-02,S04,North,In-Store,P0031,Apparel,Women,Product 31,577.58,1,0.15,490.94,410.9,80.04,Card,C9852,Corporate,,False,
100100,2025-06-02,S04,North,Online,P0058,Electronics,Phones,Product 58,210.24,2,0.0,420.48,337.54,82.94,Card,C9119,Consumer,,False,
100101,2025-06-02,S04,North,Online,P0042,Home,Kitchen,Product 42,370.59,2,0.2,592.94,581.24,11.7,Card,C4280,Consumer,,False,
100102,2025-06-02,S04,Mount Lebanon,In-Store,P0020,Apparel,Kids,Product 20,472.49,1,0.17,392.17,312.37,79.8,Card,C2823,Consumer,,False,
100103,2025-06-02,S04,Mount Lebanon,Online,P0004,Home,Decor,Product 4,277.77,1,0.04,266.66,227.53,39.13,Cash,C6386,Consumer,,False,
100104,2025-06-02,S04,South,In-Store,P0014,Apparel,Kids,Product 14,31.81,3,0.08,87.8,63.4,24.4,Card,C5225,Consumer,,False,
100105,2025-06-02,S05,South,Online,P0045,Electronics,Laptops,Product 45,475.6,2,0.11,846.57,716.13,130.44,Card,C1464,Consumer,,False,
100106,2025-06-02,S05,Beirut,In-Store,P0049,Apparel,Women,Product 49,538.52,1,0.12,473.9,440.09,33.81,Card,C3634,Consumer,,False,
100107,2025-06-02,S05,Mount Lebanon,Online,P0012,Home,Kitchen,Product 12,520.99,3,0.13,1359.78,1073.01,286.77,Card,C6888,Consumer,,False,
100108,2025-06-02,S05,North,In-Store,P0052,Home,Garden,Product 52,372.02,1,0.07,345.98,255.31,90.67,Card,C9412,Consumer,SUMMER10,False,
100109,2025-06-02,S05,Beirut,In-Store,P0040,Electronics,Laptops,Product 40,585.76,1,0.12,515.47,513.97,1.5,Card,C8747,Small Business,,False,
100110,2025-06-02,S05,North,In-Store,P0054,Grocery,Pantry,Product 54,408.18,3,0.02,1200.05,1090.59,109.46,Card,C9480,Consumer,,False,
100111,2025-06-02,S05,Mount Lebanon,Online,P0032,Home,Garden,Product 32,233.04,2,0.1,419.47,342.8,76.67,Card,C4520,Consumer,SUMMER10,False,
100112,2025-06-02,S05,Mount Lebanon,In-Store,P0032,Electronics,Phones,Product 32,424.91,4,0.17,1410.7,1020.52,390.18,Card,C8896,Consumer,SUMMER10,False,
100113,2025-06-02,S05,North,In-Store,P0020,Apparel,Women,Product 20,327.58,1,0.09,298.1,209.07,89.03,Card,C9394,Consumer,,False,
100114,2025-06-02,S05,South,Online,P0015,Electronics,Laptops,Product 15,562.11,3,0.04,1618.88,1423.54,195.34,Card,C1874,Corporate,,False,
100115,2025-06-02,S05,Mount Lebanon,In-Store,P0022,Apparel,Men,Product 22,135.35,5,0.03,656.45,534.02,122.43,Card,C8555,Consumer,,True,2025-06-10
