order_id,order_date,store_id,region,sales_channel,product_id,category,subcategory,product_name,unit_price,quantity,discount_rate,revenue,cost,profit,payment_method,customer_id,customer_segment,promo_code,is_return,return_date,inventory
1,2025-07-10,Store-1,Central,Online,P168,Electronics,Phones,Phones 4,76.31,1,0.15,64.86,43.09,21.77,Card,C1111,Corporate,,false,,5
2,2025-08-08,Store-2,North,Online,P180,Electronics,Audio,Audio 19,189.8,5,0.15,806.65,579.98,226.67,Card,C1011,Small Business,WINTER10,false,,26
3,2025-06-17,Store-3,North,Retail,P187,Sports,Fitness,Fitness 6,25.1,5,0,125.5,89.32,36.18,Wallet,C1182,Consumer,,false,,39
4,2025-06-25,Store-2,South,Retail,P159,Home,Kitchen,Kitchen 19,185.07,3,0.05,527.45,355.78,171.67,Card,C1178,Consumer,,false,,33
5,2025-08-01,Store-2,South,Retail,P177,Home,Kitchen,Kitchen 3,28.02,4,0,112.08,92.71,19.37,Card,C1125,Corporate,,false,,48
6,2025-08-09,Store-3,Central,Retail,P176,Home,Kitchen,Kitchen 16,118.08,4,0,472.32,402.41,69.91,Cash,C1121,Small Business,,false,,46
7,2025-08-27,Store-2,South,Retail,P191,Home,Kitchen,Kitchen 13,177.97,3,0,533.91,471.01,62.9,Cash,C1043,Small Business,,true,2025-08-28,13
8,2025-09-05,Store-2,North,Online,P150,Home,Decor,Decor 16,20.71,4,0.1,74.56,57.03,17.53,Card,C1110,Small Business,VIP5,true,2025-09-11,43
9,2025-09-20,Store-2,North,Online,P122,Electronics,Phones,Phones 5,50.23,2,0,100.46,74.89,25.57,Wallet,C1046,Corporate,VIP5,false,,9
10,2025-07-22,Store-3,Central,Retail,P188,Electronics,Audio,Audio 17,190.29,1,0.1,171.26,148.97,22.29,Wallet,C1143,Corporate,NEW20,true,2025-07-29,6
11,2025-07-30,Store-3,Central,Online,P108,Electronics,Audio,Audio 7,90.92,1,0.05,86.37,67.39,18.98,Card,C1000,Small Business,WINTER10,false,,23
12,2025-08-16,Store-1,North,Online,P148,Sports,Fitness,Fitness 5,128.71,3,0.15,328.21,232.78,95.43,Card,C1029,Corporate,NEW20,true,2025-08-24,19
13,2025-06-09,Store-1,North,Retail,P161,Home,Kitchen,Kitchen 6,105.69,2,0.15,179.67,127.3,52.37,Wallet,C1139,Consumer,,false,,41
14,2025-09-17,Store-1,South,Retail,P146,Sports,Fitness,Fitness 6,74.36,2,0.15,126.41,96.38,30.03,Wallet,C1084,Small Business,WINTER10,false,,15
15,2025-09-11,Store-2,South,Online,P166,Electronics,Audio,Audio 16,74.33,1,0,74.33,62.22,12.11,Cash,C1066,Consumer,,false,,28
16,2025-09-10,Store-3,Central,Retail,P128,Electronics,Phones,Phones 4,49.23,2,0.05,93.54,61.86,31.68,Wallet,C1156,Consumer,NEW20,false,,41
17,2025-06-09,Store-3,North,Retail,P161,Electronics,Audio,Audio 6,89.62,3,0,268.86,225.91,42.95,Wallet,C1101,Corporate,NEW20,false,,46
18,2025-06-19,Store-1,North,Online,P175,Electronics,Audio,Audio 15,162.27,2,0.15,275.86,233.92,41.94,Cash,C1168,Corporate,WINTER10,false,,1
19,2025-05-31,Store-3,South,Online,P195,Sports,Fitness,Fitness 5,89.59,2,0,179.18,109.01,70.17,Card,C1074,Small Business,WINTER10,false,,16
20,2025-08-07,Store-2,North,Online,P158,Home,Kitchen,Kitchen 19,163.93,5,0.1,737.69,625.67,112.02,Wallet,C1033,Small Business,WINTER10,false,,28
21,2025-09-06,Store-1,South,Online,P122,Electronics,Audio,Audio 5,97.33,1,0.15,82.73,51.17,31.56,Wallet,C1132,Small Business,,true,2025-09-08,35
22,2025-06-06,Store-1,North,Retail,P198,Electronics,Phones,Phones 4,104.0,5,0,520.0,430.56,89.44,Card,C1113,Corporate,,false,,44
23,2025-07-04,Store-2,South,Retail,P131,Sports,Fitness,Fitness 17,175.92,3,0.15,448.6,389.31,59.29,Card,C1114,Consumer,NEW20,false,,25
